Format Rank,Site Name,State,Site Type,Service Description,Unique Service Line,Service Type,Waste Stream,Bin Size,Cleanaway,Veolia,Remondis,Current,Incumbant
112,Rathdowne Place Aged Care,VIC,AC,6 x 1100L General Waste - 3 x Weekly,Rathdowne Place Aged Care - 6 x 1100L General Waste - 3 x Weekly,Rear Lift,General Waste,1100,"$25,786.80","$26,049.19","$23,009.06","$26,646.36 ",Veolia
113,Rathdowne Place Aged Care,VIC,AC,15 x 240L Comingle - 3 x Weekly,Rathdowne Place Aged Care - 15 x 240L Comingle - 3 x Weekly,Rear Lift,Comingle,240,"$8,276.27","$8,598.72","$8,878.18","$11,683.51 ",Veolia
114,Rathdowne Place Aged Care,VIC,AC,2 x 1100L Paper & Cardboard - 3 x Weekly,Rathdowne Place Aged Care - 2 x 1100L Paper & Cardboard - 3 x Weekly,Rear Lift,Paper & Cardboard,1100,"$3,841.50","$4,271.75","$2,999.44","$3,463.50 ",Veolia
115,Rathdowne Place Aged Care,VIC,AC,2 x 240L Confidential Waste - 1 x Weekly,Rathdowne Place Aged Care - 2 x 240L Confidential Waste - 1 x Weekly,Confidential,Confidential Waste,240,"$2,875.08","$2,046.15","$1,035.42","$2,013.54 ",Veolia
116,Rathdowne Place Aged Care,VIC,AC,15 x 240L Clinical Waste - 1 x Weekly,Rathdowne Place Aged Care - 15 x 240L Clinical Waste - 1 x Weekly,Medical,Clinical Waste,240,"$9,928.53","$10,358.40","$7,856.85","$10,201.30 ",Veolia
117,Rathdowne Place Aged Care,VIC,AC,5 x 240L Cytotoxic Waste - On-Call,Rathdowne Place Aged Care - 5 x 240L Cytotoxic Waste - On-Call,Medical,Cytotoxic Waste,240,$269.13,$252.10,$602.67,$212.19,Veolia
118,Rathdowne Place Aged Care,VIC,AC,12 x 3L Sharps Supply - Every 4 Weeks,Rathdowne Place Aged Care - 12 x 3L Sharps Supply - Every 4 Weeks,Medical,Sharps Supply,3,$894.40,$756.30,$614.63,$783.49,Veolia
119,Rathdowne Place Aged Care,VIC,AC,17 x 22L Sanitary Waste - Every 4 Weeks,Rathdowne Place Aged Care - 17 x 22L Sanitary Waste - Every 4 Weeks,Sanitary,Sanitary Waste,22,"$1,657.50","$2,305.03","$1,239.81","$1,156.48 ",Veolia
120,Rathdowne Place Aged Care,VIC,AC,1 x 3000L Grease Trap - Every 13 Weeks,Rathdowne Place Aged Care - 1 x 3000L Grease Trap - Every 13 Weeks,Liquid,Grease Trap,3000,"$2,620.80","$2,620.80","$2,620.80","$2,891.20 ",Veolia
121,Drummond Place Retirement Community,VIC,RV,2 x 22L Sanitary Waste - Every 4 Weeks,Drummond Place Retirement Community - 2 x 22L Sanitary Waste - Every 4 Weeks,Sanitary,Sanitary Waste,22,$195.00,$271.18,$145.86,,Veolia
122,Drummond Place Retirement Community,VIC,RV,1 x 240L Confidential Waste - On-Call,Drummond Place Retirement Community - 1 x 240L Confidential Waste - On-Call,Confidential,Confidential Waste,240,$0.00,$0.00,$0.00,,Veolia
123,Willandra Bungalows,NSW,RV,11 x 240L General Waste - 2 x Weekly,Willandra Bungalows - 11 x 240L General Waste - 2 x Weekly,Rear Lift,General Waste,240,"$10,905.02","$12,294.88","$13,235.71","$14,764.55 ",Veolia
124,Willandra Bungalows,NSW,RV,14 x 240L Comingle - 1 x Weekly,Willandra Bungalows - 14 x 240L Comingle - 1 x Weekly,Rear Lift,Comingle,240,"$5,632.64","$6,688.76","$5,900.19","$8,223.65 ",Veolia
125,Willandra Bungalows,NSW,RV,15 x 240L Paper & Cardboard - 1 x Weekly,Willandra Bungalows - 15 x 240L Paper & Cardboard - 1 x Weekly,Rear Lift,Paper & Cardboard,240,"$3,435.12","$4,198.48","$6,015.28","$4,221.38 ",Veolia
126,Willandra Bungalows,NSW,RV,3 x 1100L Green Waste - 1 x Weekly,Willandra Bungalows - 3 x 1100L Green Waste - 1 x Weekly,Rear Lift,Green Waste,1100,"$8,532.32","$4,839.22","$5,014.96","$6,564.79 ",Veolia
127,Willandra Bungalows,NSW,RV,2 x 26L Sanitary Waste - Every 4 Weeks,Willandra Bungalows - 2 x 26L Sanitary Waste - Every 4 Weeks,Sanitary,Sanitary Waste,26,$195.00,$163.54,$289.38,$153.66,Veolia
128,Willandra Retirement Village,NSW,RV,44 x 240L General Waste - 2 x Weekly,Willandra Retirement Village - 44 x 240L General Waste - 2 x Weekly,Rear Lift,General Waste,240,"$43,270.03","$41,276.22","$48,487.89","$58,584.23 ",Veolia
129,Willandra Retirement Village,NSW,RV,28 x 240L Comingle - 1 x Weekly,Willandra Retirement Village - 28 x 240L Comingle - 1 x Weekly,Rear Lift,Comingle,240,"$11,419.20","$10,848.24","$12,689.59","$16,971.79 ",Veolia
130,Willandra Retirement Village,NSW,RV,31 x 240L Paper & Cardboard - 1 x Weekly,Willandra Retirement Village - 31 x 240L Paper & Cardboard - 1 x Weekly,Rear Lift,Paper & Cardboard,240,"$6,996.60","$8,551.40","$8,566.95","$6,949.96 ",Veolia
131,Willandra Retirement Village,NSW,RV,1 x 3m3 General Waste - 2 x Weekly,Willandra Retirement Village - 1 x 3m3 General Waste - 2 x Weekly,Front Lift,General Waste,3,"$11,294.40","$10,400.00","$9,048.00","$13,175.76 ",Veolia
132,Willandra Retirement Village,NSW,RV,5 x 120L Comingle - 1 x Weekly,Willandra Retirement Village - 5 x 120L Comingle - 1 x Weekly,Rear Lift,Comingle,120,"$1,424.18","$1,907.01","$1,759.38","$2,065.06 ",Veolia
133,Willandra Retirement Village,NSW,RV,1 x 1100L Paper & Cardboard - 1 x Weekly,Willandra Retirement Village - 1 x 1100L Paper & Cardboard - 1 x Weekly,Rear Lift,Paper & Cardboard,1100,$530.40,$722.80,$409.76,$128.96,Veolia
134,Willandra Retirement Village,NSW,RV,3 x 26L Sanitary Waste - Every 4 Weeks,Willandra Retirement Village - 3 x 26L Sanitary Waste - Every 4 Weeks,Sanitary,Sanitary Waste,26,$292.50,$245.31,$426.27,$501.93,Veolia
135,Willandra Retirement Village,NSW,RV,1 x 1500L Grease Trap - Every 8 Weeks,Willandra Retirement Village - 1 x 1500L Grease Trap - Every 8 Weeks,Liquid,Grease Trap,1500,"$2,145.00","$1,950.00","$2,242.50","$1,949.03 ",Veolia
136,Willandra Retirement Village,NSW,RV,1 x 1000L Grease Trap - Every 52 Weeks,Willandra Retirement Village - 1 x 1000L Grease Trap - Every 52 Weeks,Liquid,Grease Trap,1000,$219.65,$199.68,$229.63,$196.09,Veolia
137,Constitution Hill Retirement Village,NSW,RV,54 x 240L General Waste - 1 x Weekly,Constitution Hill Retirement Village - 54 x 240L General Waste - 1 x Weekly,Rear Lift,General Waste,240,"$19,603.58","$18,700.28","$21,621.60","$27,944.72 ",Veolia
138,Constitution Hill Retirement Village,NSW,RV,86 x 240L Comingle - 1 x Weekly,Constitution Hill Retirement Village - 86 x 240L Comingle - 1 x Weekly,Rear Lift,Comingle,240,"$27,136.10","$22,726.48","$22,896.08","$34,564.60 ",Veolia
139,Constitution Hill Retirement Village,NSW,RV,19 x 660L General Waste - 1 x Weekly,Constitution Hill Retirement Village - 19 x 660L General Waste - 1 x Weekly,Rear Lift,General Waste,660,"$21,031.92","$17,526.60","$18,778.50","$28,317.98 ",Veolia
140,Constitution Hill Retirement Village,NSW,RV,2 x 240L Confidential Waste - On-Call,Constitution Hill Retirement Village - 2 x 240L Confidential Waste - On-Call,Confidential,Confidential Waste,240,$397.22,$266.99,$143.05,$535.22,Veolia
141,Constitution Hill Aged Care,NSW,AC,1 x 8m3 General Waste Compactor - 1 x Weekly,Constitution Hill Aged Care - 1 x 8m3 General Waste Compactor - 1 x Weekly,Bulk,General Waste Compactor,8,"$17,503.20","$11,923.08","$15,277.60","$11,771.24 ",Veolia
142,Constitution Hill Aged Care,NSW,AC,Compactor Rental,Constitution Hill Aged Care - Compactor Rental,Bulk,Compactor Rental,,"$26,400.00","$11,940.00","$39,324.00","$14,992.22 ",Veolia
143,Constitution Hill Aged Care,NSW,AC,General Waste Disposal,Constitution Hill Aged Care - General Waste Disposal,Bulk,General Waste Disposal,,"$30,513.60","$32,753.81","$31,607.00","$31,384.93 ",Veolia
144,Constitution Hill Aged Care,NSW,AC,8 x 240L General Waste - 1 x Weekly,Constitution Hill Aged Care - 8 x 240L General Waste - 1 x Weekly,Rear Lift,General Waste,240,"$1,568.99","$1,590.23","$1,838.66","$2,376.36 ",Veolia
145,Constitution Hill Aged Care,NSW,AC,4 x 660L Paper & Cardboard - 1 x Weekly,Constitution Hill Aged Care - 4 x 660L Paper & Cardboard - 1 x Weekly,Rear Lift,Paper & Cardboard,660,"$1,781.21","$2,249.00","$1,459.15",$838.43,Veolia
146,Constitution Hill Aged Care,NSW,AC,4 x 240L Confidential Waste - On-Call,Constitution Hill Aged Care - 4 x 240L Confidential Waste - On-Call,Confidential,Confidential Waste,240,$529.62,$355.99,$194.19,$799.16,Veolia
147,Constitution Hill Aged Care,NSW,AC,6 x 240L Clinical Waste - 1 x Weekly,Constitution Hill Aged Care - 6 x 240L Clinical Waste - 1 x Weekly,Medical,Clinical Waste,240,"$7,120.43","$7,142.71","$5,634.68","$6,505.08 ",Veolia
148,Constitution Hill Aged Care,NSW,AC,1 x 240L Cytotoxic Waste - Fortnightly,Constitution Hill Aged Care - 1 x 240L Cytotoxic Waste - Fortnightly,Medical,Cytotoxic Waste,240,$852.25,$882.78,"$1,035.75",$617.01,Veolia
149,Constitution Hill Aged Care,NSW,AC,1 x 2800L Grease Trap - Every 8 Weeks,Constitution Hill Aged Care - 1 x 2800L Grease Trap - Every 8 Weeks,Liquid,Grease Trap,2800,"$4,004.00","$3,640.00","$4,186.00","$3,820.18 ",Veolia
150,The Governor's Retirement Resort,NSW,RV,1 x 1.5m3 General Waste - 2 x Weekly,The Governor's Retirement Resort - 1 x 1.5m3 General Waste - 2 x Weekly,Front Lift,General Waste,1.5,"$6,718.40","$4,616.56","$6,314.88","$8,041.28 ",JR Richards
151,The Governor's Retirement Resort,NSW,RV,1 x 1100L Organics - 1 x Weekly,The Governor's Retirement Resort - 1 x 1100L Organics - 1 x Weekly,Rear Lift,Organics,1100,"$2,111.20","$2,051.92","$1,910.48","$2,317.64 ",JR Richards
152,The Governor's Retirement Resort,NSW,RV,5 x 240L Organics - 1 x Weekly,The Governor's Retirement Resort - 5 x 240L Organics - 1 x Weekly,Rear Lift,Organics,240,"$2,311.92","$1,646.01","$1,667.74","$1,970.07 ",JR Richards
153,The Governor's Retirement Resort,NSW,RV,12 x 240L Comingle - 1 x Weekly,The Governor's Retirement Resort - 12 x 240L Comingle - 1 x Weekly,Rear Lift,Comingle,240,"$4,056.00","$3,924.18","$3,630.12","$3,102.84 ",JR Richards
154,The Governor's Retirement Resort,NSW,RV,1 x 660L Comingle - 1 x Weekly,The Governor's Retirement Resort - 1 x 660L Comingle - 1 x Weekly,Rear Lift,Comingle,660,"$1,071.20","$1,083.16",$986.96,$873.60,JR Richards
155,The Governor's Retirement Resort,NSW,RV,1 x 1346L Grease Trap - Every 13 Weeks,The Governor's Retirement Resort - 1 x 1346L Grease Trap - Every 13 Weeks,Liquid,Grease Trap,1346,"$5,518.24","$2,071.76","$1,623.81","$1,663.21 ",JR Richards
156,Sienna Grange Retirement Village,NSW,RV,12 x 240L General Waste - 1 x Weekly,Sienna Grange Retirement Village - 12 x 240L General Waste - 1 x Weekly,Rear Lift,General Waste,240,"$5,834.40","$5,565.56","$6,475.04","$6,446.44 ",JR Richards
157,Sienna Grange Retirement Village,NSW,RV,10 x 240L Organics - 1 x Weekly,Sienna Grange Retirement Village - 10 x 240L Organics - 1 x Weekly,Rear Lift,Organics,240,"$5,730.40","$4,115.02","$4,169.36","$4,633.72 ",JR Richards
158,Sienna Grange Retirement Village,NSW,RV,14 x 240L Comingle - 1 x Weekly,Sienna Grange Retirement Village - 14 x 240L Comingle - 1 x Weekly,Rear Lift,Comingle,240,"$5,408.00","$5,232.24","$4,840.16","$4,137.12 ",JR Richards
159,Sienna Grange Retirement Village,NSW,RV,1 x 2000L Grease Trap - Every 13 Weeks,Sienna Grange Retirement Village - 1 x 2000L Grease Trap - Every 13 Weeks,Liquid,Grease Trap,2000,"$6,198.40","$3,078.40","$2,412.80","$2,659.65 ",JR Richards
160,Sienna Grange Aged Care,NSW,AC,4 x 1100L General Waste - 3 x Weekly,Sienna Grange Aged Care - 4 x 1100L General Waste - 3 x Weekly,Rear Lift,General Waste,1100,"$13,893.36","$12,393.64","$16,946.09","$19,671.48 ",JR Richards
161,Sienna Grange Aged Care,NSW,AC,5 x 1100L Comingle - 1 x Weekly,Sienna Grange Aged Care - 5 x 1100L Comingle - 1 x Weekly,Rear Lift,Comingle,1100,"$5,620.84","$6,742.87","$6,762.10","$5,984.16 ",JR Richards
162,Sienna Grange Aged Care,NSW,AC,5 x 240L Organics - 1 x Weekly,Sienna Grange Aged Care - 5 x 240L Organics - 1 x Weekly,Rear Lift,Organics,240,$965.33,$675.73,$684.65,$760.91,JR Richards
163,Sienna Grange Aged Care,NSW,AC,5 x 120L Clinical Waste - 1 x Weekly,Sienna Grange Aged Care - 5 x 120L Clinical Waste - 1 x Weekly,Medical,Clinical Waste,120,"$14,952.60","$20,857.20","$16,606.20","$26,888.16 ",JR Richards
164,Sienna Grange Aged Care,NSW,AC,1 x 120L Cytotoxic Waste - Every 4 Weeks,Sienna Grange Aged Care - 1 x 120L Cytotoxic Waste - Every 4 Weeks,Medical,Cytotoxic Waste,120,$0.00,"$1,348.75","$1,257.62",,JR Richards
165,Sienna Grange Aged Care,NSW,AC,1 x 240L Confidential Waste - Every 4 Weeks,Sienna Grange Aged Care - 1 x 240L Confidential Waste - Every 4 Weeks,Confidential,Confidential Waste,240,$845.00,$434.72,$364.52,$644.28,JR Richards
166,Sienna Grange Aged Care,NSW,AC,11 x 22L Sanitary Waste - Every 4 Weeks,Sienna Grange Aged Care - 11 x 22L Sanitary Waste - Every 4 Weeks,Sanitary,Sanitary Waste,22,"$2,359.50","$1,348.49","$1,191.19","$1,134.90 ",JR Richards
167,The Eye Centre (HPT Asset),QLD,HPT,1 x 660L General Waste - 2 x Weekly,The Eye Centre (HPT Asset) - 1 x 660L General Waste - 2 x Weekly,Rear Lift,General Waste,660,$647.40,$752.08,$486.46,"$14,634.36 ",Gold Coast Council
168,The Eye Centre (HPT Asset),QLD,HPT,1 x 1100L Paper & Cardboard - 1 x Weekly,The Eye Centre (HPT Asset) - 1 x 1100L Paper & Cardboard - 1 x Weekly,Rear Lift,Paper & Cardboard,1100,$514.80,$606.00,$741.00,,Gold Coast Council
169,Campus Alpha (HPT Asset),QLD,HPT,1 x 1100L General Waste - 4 x Weekly,Campus Alpha (HPT Asset) - 1 x 1100L General Waste - 4 x Weekly,Rear Lift,General Waste,1100,"$7,945.60","$7,025.92","$6,119.36","$11,472.24 ",Cleanaway
170,Campus Alpha (HPT Asset),QLD,HPT,1 x 1100L Paper & Cardboard - 2 x Weekly,Campus Alpha (HPT Asset) - 1 x 1100L Paper & Cardboard - 2 x Weekly,Rear Lift,Paper & Cardboard,1100,"$1,029.60","$1,152.00","$1,482.00","$4,143.36 ",Cleanaway
171,15 Butterfield (HPT Asset),QLD,HPT,1 x 1100L General Waste - 3 x Weekly,15 Butterfield (HPT Asset) - 1 x 1100L General Waste - 3 x Weekly,Rear Lift,General Waste,1100,"$3,931.20","$5,454.48","$4,589.52","$15,560.00 ",Cleanaway
172,15 Butterfield (HPT Asset),QLD,HPT,1 x 1100L Paper & Cardboard - 2 x Weekly,15 Butterfield (HPT Asset) - 1 x 1100L Paper & Cardboard - 2 x Weekly,Rear Lift,Paper & Cardboard,1100,$468.00,"$1,152.00","$1,456.00","$1,456.00 ",Cleanaway
173,STARS (HPT Asset),QLD,HPT,4 x 1100L General Waste - 3 x Weekly,STARS (HPT Asset) - 4 x 1100L General Waste - 3 x Weekly,Rear Lift,General Waste,1100,"$15,724.80","$13,861.92","$17,696.64","$17,334.77 ",Cleanaway
174,STARS (HPT Asset),QLD,HPT,1 x 1100L Comingle - 1 x Weekly,STARS (HPT Asset) - 1 x 1100L Comingle - 1 x Weekly,Rear Lift,Comingle,1100,$821.60,"$1,305.40","$1,700.40","$1,237.60 ",Cleanaway
175,STARS (HPT Asset),QLD,HPT,2 x 1100L Paper & Cardboard - 3 x Weekly,STARS (HPT Asset) - 2 x 1100L Paper & Cardboard - 3 x Weekly,Rear Lift,Paper & Cardboard,1100,"$1,404.00","$3,708.00","$4,286.88","$3,004.56 ",Cleanaway
176,Ipswsich Medical (HPT Asset),QLD,HPT,1 x 1100L General Waste - 4 x Weekly,Ipswsich Medical (HPT Asset) - 1 x 1100L General Waste - 4 x Weekly,Rear Lift,General Waste,1100,"$5,241.60","$7,117.44","$6,119.36","$22,258.08 ",Ipswich Council
177,Ipswsich Medical (HPT Asset),QLD,HPT,1 x 1100L Paper & Cardboard - 2 x Weekly,Ipswsich Medical (HPT Asset) - 1 x 1100L Paper & Cardboard - 2 x Weekly,Rear Lift,Paper & Cardboard,1100,"$1,788.80","$1,152.00","$1,482.00","$1,930.76 ",Ipswich Council
178,Ipswsich Medical (HPT Asset),QLD,HPT,1 x 22L Sanitary Waste - 1 x Weekly,Ipswsich Medical (HPT Asset) - 1 x 22L Sanitary Waste - 1 x Weekly,Sanitary,Sanitary Waste,22,$390.00,$476.84,$433.16,"$3,059.68 ",Ipswich Council
179,Ipswsich Medical (HPT Asset),QLD,HPT,3 x 22L Sanitary Waste - Every 4 Weeks,Ipswsich Medical (HPT Asset) - 3 x 22L Sanitary Waste - Every 4 Weeks,Sanitary,Sanitary Waste,22,$292.50,$357.63,$324.87,"$2,294.76 ",Ipswich Council
180,Medilink (HPT Asset),QLD,HPT,1 x 3m3 General Waste - 6 x Weekly,Medilink (HPT Asset) - 1 x 3m3 General Waste - 6 x Weekly,Front Lift,General Waste,3,"$25,240.80","$21,816.48","$20,844.72","$33,415.20 ",Cleanaway
181,Medilink (HPT Asset),QLD,HPT,1 x 4.5m3 Paper & Cardboard - 2 x Weekly,Medilink (HPT Asset) - 1 x 4.5m3 Paper & Cardboard - 2 x Weekly,Front Lift,Paper & Cardboard,4.5,"$2,350.40","$3,028.88","$2,993.12","$3,198.00 ",Cleanaway
,,,,,,,,,"$854,756.88","$825,188.93","$862,967.49","$1,129,622 ",
